Financial Benchmarks India Pvt Ltd
Reference Rates
Date,Time,Currency Pairs,Rate,Comments
12 Feb 2026,1:00:00 PM,INR / 100 JPY,59.1,
11 Feb 2026,1:00:00 PM,INR / 1 USD,90.5675,
11 Feb 2026,1:00:00 PM,INR / 1 GBP,123.838,
11 Feb 2026,1:00:00 PM,INR / 1 EUR,107.964,
11 Feb 2026,1:00:00 PM,INR / 100 JPY,59.21,
10 Feb 2026,1:00:00 PM,INR / 1 USD,90.5773,
10 Feb 2026,1:00:00 PM,INR / 1 GBP,123.861,
10 Feb 2026,1:00:00 PM,INR / 1 EUR,107.87,
10 Feb 2026,1:00:00 PM,INR / 100 JPY,58.31,
09 Feb 2026,1:00:00 PM,INR / 1 USD,90.4006,
09 Feb 2026,1:00:00 PM,INR / 1 GBP,123.083,
09 Feb 2026,1:00:00 PM,INR / 1 EUR,107.046,
09 Feb 2026,1:00:00 PM,INR / 100 JPY,57.77,
06 Feb 2026,1:00:00 PM,INR / 1 USD,90.4163,
06 Feb 2026,1:00:00 PM,INR / 1 GBP,122.743,
06 Feb 2026,1:00:00 PM,INR / 1 EUR,106.686,
06 Feb 2026,1:00:00 PM,INR / 100 JPY,57.64,
05 Feb 2026,1:00:00 PM,INR / 1 USD,90.3957,
05 Feb 2026,1:00:00 PM,INR / 1 GBP,123.032,
05 Feb 2026,1:00:00 PM,INR / 1 EUR,106.548,
05 Feb 2026,1:00:00 PM,INR / 100 JPY,57.6,
04 Feb 2026,1:00:00 PM,INR / 1 USD,90.4693,
04 Feb 2026,1:00:00 PM,INR / 1 GBP,124.111,
04 Feb 2026,1:00:00 PM,INR / 1 EUR,107.055,
04 Feb 2026,1:00:00 PM,INR / 100 JPY,57.89,
03 Feb 2026,1:00:00 PM,INR / 1 USD,90.4495,
03 Feb 2026,1:00:00 PM,INR / 1 GBP,123.888,
03 Feb 2026,1:00:00 PM,INR / 1 EUR,106.856,
03 Feb 2026,1:00:00 PM,INR / 100 JPY,58.19,
02 Feb 2026,1:00:00 PM,INR / 1 USD,91.6443,
02 Feb 2026,1:00:00 PM,INR / 1 GBP,125.243,
02 Feb 2026,1:00:00 PM,INR / 1 EUR,108.569,
02 Feb 2026,1:00:00 PM,INR / 100 JPY,59.2,
30 Jan 2026,1:00:00 PM,INR / 1 USD,91.8983,
30 Jan 2026,1:00:00 PM,INR / 1 GBP,126.383,
30 Jan 2026,1:00:00 PM,INR / 1 EUR,109.566,
30 Jan 2026,1:00:00 PM,INR / 100 JPY,59.72,
29 Jan 2026,1:00:00 PM,INR / 1 USD,91.9644,
29 Jan 2026,1:00:00 PM,INR / 1 GBP,127.253,
29 Jan 2026,1:00:00 PM,INR / 1 EUR,110.227,
29 Jan 2026,1:00:00 PM,INR / 100 JPY,60.08,
28 Jan 2026,1:00:00 PM,INR / 1 USD,91.6945,
28 Jan 2026,1:00:00 PM,INR / 1 GBP,126.594,
28 Jan 2026,1:00:00 PM,INR / 1 EUR,109.986,
28 Jan 2026,1:00:00 PM,INR / 100 JPY,60.06,
27 Jan 2026,1:00:00 PM,INR / 1 USD,91.8244,
27 Jan 2026,1:00:00 PM,INR / 1 GBP,125.685,
27 Jan 2026,1:00:00 PM,INR / 1 EUR,109.063,
27 Jan 2026,1:00:00 PM,INR / 100 JPY,59.45,
23 Jan 2026,1:00:00 PM,INR / 1 USD,91.6195,
23 Jan 2026,1:00:00 PM,INR / 1 GBP,123.625,
23 Jan 2026,1:00:00 PM,INR / 1 EUR,107.621,
23 Jan 2026,1:00:00 PM,INR / 100 JPY,57.75,
22 Jan 2026,1:00:00 PM,INR / 1 USD,91.5826,
22 Jan 2026,1:00:00 PM,INR / 1 GBP,122.948,
22 Jan 2026,1:00:00 PM,INR / 1 EUR,107.055,
22 Jan 2026,1:00:00 PM,INR / 100 JPY,57.67,
21 Jan 2026,1:00:00 PM,INR / 1 USD,91.55,
21 Jan 2026,1:00:00 PM,INR / 1 GBP,123.034,
21 Jan 2026,1:00:00 PM,INR / 1 EUR,107.311,
21 Jan 2026,1:00:00 PM,INR / 100 JPY,57.89,
20 Jan 2026,1:00:00 PM,INR / 1 USD,91.0356,
20 Jan 2026,1:00:00 PM,INR / 1 GBP,122.325,
20 Jan 2026,1:00:00 PM,INR / 1 EUR,106.191,
20 Jan 2026,1:00:00 PM,INR / 100 JPY,57.48,
19 Jan 2026,1:00:00 PM,INR / 1 USD,90.9705,
19 Jan 2026,1:00:00 PM,INR / 1 GBP,121.884,
19 Jan 2026,1:00:00 PM,INR / 1 EUR,105.777,
19 Jan 2026,1:00:00 PM,INR / 100 JPY,57.64,
16 Jan 2026,1:00:00 PM,INR / 1 USD,90.6497,
16 Jan 2026,1:00:00 PM,INR / 1 GBP,121.314,
16 Jan 2026,1:00:00 PM,INR / 1 EUR,105.224,
16 Jan 2026,1:00:00 PM,INR / 100 JPY,57.24,
14 Jan 2026,1:00:00 PM,INR / 1 USD,90.2016,
14 Jan 2026,1:00:00 PM,INR / 1 GBP,121.2,
14 Jan 2026,1:00:00 PM,INR / 1 EUR,105.048,
14 Jan 2026,1:00:00 PM,INR / 100 JPY,56.62,
13 Jan 2026,1:00:00 PM,INR / 1 USD,90.2677,
13 Jan 2026,1:00:00 PM,INR / 1 GBP,121.569,
13 Jan 2026,1:00:00 PM,INR / 1 EUR,105.23,
13 Jan 2026,1:00:00 PM,INR / 100 JPY,56.81,
12 Jan 2026,1:00:00 PM,INR / 1 USD,90.1899,
12 Jan 2026,1:00:00 PM,INR / 1 GBP,121.169,
12 Jan 2026,1:00:00 PM,INR / 1 EUR,105.227,
12 Jan 2026,1:00:00 PM,INR / 100 JPY,57.08,
09 Jan 2026,1:00:00 PM,INR / 1 USD,90.1395,
09 Jan 2026,1:00:00 PM,INR / 1 GBP,121.02,
09 Jan 2026,1:00:00 PM,INR / 1 EUR,105.006,
09 Jan 2026,1:00:00 PM,INR / 100 JPY,57.26,
08 Jan 2026,1:00:00 PM,INR / 1 USD,89.893,
08 Jan 2026,1:00:00 PM,INR / 1 GBP,120.972,
08 Jan 2026,1:00:00 PM,INR / 1 EUR,104.996,
08 Jan 2026,1:00:00 PM,INR / 100 JPY,57.42,
07 Jan 2026,1:00:00 PM,INR / 1 USD,89.9432,
07 Jan 2026,1:00:00 PM,INR / 1 GBP,121.489,
07 Jan 2026,1:00:00 PM,INR / 1 EUR,105.178,
07 Jan 2026,1:00:00 PM,INR / 100 JPY,57.53,
06 Jan 2026,1:00:00 PM,INR / 1 USD,90.181,
06 Jan 2026,1:00:00 PM,INR / 1 GBP,122.215,
06 Jan 2026,1:00:00 PM,INR / 1 EUR,105.806,
06 Jan 2026,1:00:00 PM,INR / 100 JPY,57.65,
05 Jan 2026,1:00:00 PM,INR / 1 USD,90.2729,
05 Jan 2026,1:00:00 PM,INR / 1 GBP,121.278,
05 Jan 2026,1:00:00 PM,INR / 1 EUR,105.523,
05 Jan 2026,1:00:00 PM,INR / 100 JPY,57.48,
02 Jan 2026,1:00:00 PM,INR / 1 USD,90.1242,
02 Jan 2026,1:00:00 PM,INR / 1 GBP,121.352,
02 Jan 2026,1:00:00 PM,INR / 1 EUR,105.84,
02 Jan 2026,1:00:00 PM,INR / 100 JPY,57.42,
01 Jan 2026,1:00:00 PM,INR / 1 USD,89.9792,
01 Jan 2026,1:00:00 PM,INR / 1 GBP,121.248,
01 Jan 2026,1:00:00 PM,INR / 1 EUR,105.691,
01 Jan 2026,1:00:00 PM,INR / 100 JPY,57.42,
31 Dec 2025,1:00:00 PM,INR / 1 USD,89.9198,
31 Dec 2025,1:00:00 PM,INR / 1 GBP,121.024,
31 Dec 2025,1:00:00 PM,INR / 1 EUR,105.556,
31 Dec 2025,1:00:00 PM,INR / 100 JPY,57.42,
30 Dec 2025,1:00:00 PM,INR / 1 USD,89.9429,
30 Dec 2025,1:00:00 PM,INR / 1 GBP,121.566,
30 Dec 2025,1:00:00 PM,INR / 1 EUR,105.927,
30 Dec 2025,1:00:00 PM,INR / 100 JPY,57.64,
29 Dec 2025,1:00:00 PM,INR / 1 USD,89.9756,
29 Dec 2025,1:00:00 PM,INR / 1 GBP,121.405,
29 Dec 2025,1:00:00 PM,INR / 1 EUR,105.841,
29 Dec 2025,1:00:00 PM,INR / 100 JPY,57.58,
26 Dec 2025,1:00:00 PM,INR / 1 USD,89.8296,
26 Dec 2025,1:00:00 PM,INR / 1 GBP,121.241,
26 Dec 2025,1:00:00 PM,INR / 1 EUR,105.853,
26 Dec 2025,1:00:00 PM,INR / 100 JPY,57.5,
24 Dec 2025,1:00:00 PM,INR / 1 USD,89.7703,
24 Dec 2025,1:00:00 PM,INR / 1 GBP,121.369,
24 Dec 2025,1:00:00 PM,INR / 1 EUR,105.944,
24 Dec 2025,1:00:00 PM,INR / 100 JPY,57.64,
23 Dec 2025,1:00:00 PM,INR / 1 USD,89.8314,
23 Dec 2025,1:00:00 PM,INR / 1 GBP,121.13,
23 Dec 2025,1:00:00 PM,INR / 1 EUR,105.739,
23 Dec 2025,1:00:00 PM,INR / 100 JPY,57.54,
22 Dec 2025,1:00:00 PM,INR / 1 USD,89.5467,
22 Dec 2025,1:00:00 PM,INR / 1 GBP,119.952,
22 Dec 2025,1:00:00 PM,INR / 1 EUR,104.916,
22 Dec 2025,1:00:00 PM,INR / 100 JPY,56.91,
19 Dec 2025,1:00:00 PM,INR / 1 USD,90.1975,
19 Dec 2025,1:00:00 PM,INR / 1 GBP,120.649,
19 Dec 2025,1:00:00 PM,INR / 1 EUR,105.678,
19 Dec 2025,1:00:00 PM,INR / 100 JPY,57.75,
18 Dec 2025,1:00:00 PM,INR / 1 USD,90.1303,
18 Dec 2025,1:00:00 PM,INR / 1 GBP,120.468,
18 Dec 2025,1:00:00 PM,INR / 1 EUR,105.839,
18 Dec 2025,1:00:00 PM,INR / 100 JPY,57.82,
17 Dec 2025,1:00:00 PM,INR / 1 USD,90.3291,
17 Dec 2025,1:00:00 PM,INR / 1 GBP,120.903,
17 Dec 2025,1:00:00 PM,INR / 1 EUR,105.912,
17 Dec 2025,1:00:00 PM,INR / 100 JPY,58.19,
16 Dec 2025,1:00:00 PM,INR / 1 USD,91.0202,
16 Dec 2025,1:00:00 PM,INR / 1 GBP,121.61,
16 Dec 2025,1:00:00 PM,INR / 1 EUR,106.951,
16 Dec 2025,1:00:00 PM,INR / 100 JPY,58.76,
15 Dec 2025,1:00:00 PM,INR / 1 USD,90.7228,
15 Dec 2025,1:00:00 PM,INR / 1 GBP,121.211,
15 Dec 2025,1:00:00 PM,INR / 1 EUR,106.441,
15 Dec 2025,1:00:00 PM,INR / 100 JPY,58.5,
12 Dec 2025,1:00:00 PM,INR / 1 USD,90.3883,
12 Dec 2025,1:00:00 PM,INR / 1 GBP,121.058,
12 Dec 2025,1:00:00 PM,INR / 1 EUR,106.078,
12 Dec 2025,1:00:00 PM,INR / 100 JPY,58.03,
11 Dec 2025,1:00:00 PM,INR / 1 USD,90.3702,
11 Dec 2025,1:00:00 PM,INR / 1 GBP,120.771,
11 Dec 2025,1:00:00 PM,INR / 1 EUR,105.597,
11 Dec 2025,1:00:00 PM,INR / 100 JPY,57.91,
10 Dec 2025,1:00:00 PM,INR / 1 USD,89.8822,
10 Dec 2025,1:00:00 PM,INR / 1 GBP,119.639,
10 Dec 2025,1:00:00 PM,INR / 1 EUR,104.554,
10 Dec 2025,1:00:00 PM,INR / 100 JPY,57.35,
09 Dec 2025,1:00:00 PM,INR / 1 USD,89.9644,
09 Dec 2025,1:00:00 PM,INR / 1 GBP,119.938,
09 Dec 2025,1:00:00 PM,INR / 1 EUR,104.756,
09 Dec 2025,1:00:00 PM,INR / 100 JPY,57.66,
08 Dec 2025,1:00:00 PM,INR / 1 USD,90.1745,
08 Dec 2025,1:00:00 PM,INR / 1 GBP,120.215,
08 Dec 2025,1:00:00 PM,INR / 1 EUR,105.171,
08 Dec 2025,1:00:00 PM,INR / 100 JPY,58.08,
05 Dec 2025,1:00:00 PM,INR / 1 USD,89.9238,
05 Dec 2025,1:00:00 PM,INR / 1 GBP,120.001,
